object_position,object_orientation,robot_pose,object_name,object_mass,object_friction,position_noise,orientation_noise,pregrasp_reward,grasp_reward,pregrasp_grasp_checkpoint,grasp_checkpoint
"[0.49866775098910177, -0.06274842709283844, 0.029000093929257825]","[0.0, 0.0, 0.433090559052947, 0.9013504133572058]","[0.5472301670526405, -0.027942398061355747, 0.2894621743071956]",stone,0.769373228,0.864450523,"[0, 0, 0]",0,514.313388,518.0567217,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5230050721241889, -0.00037181415818025865, 0.02900010898184783]","[0.0, 0.0, 0.48898336505098705, 0.8722931093981043]","[0.5450217681552628, -0.013606226221054167, 0.21833196008089323]",stone,0.45238371,0.681516897,"[0, 0, 0]",0,508.2902338,517.8239796,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4798125603541177, -0.0390068286046205, 0.02900009664512206]","[0.0, 0.0, 0.5297734853458735, 0.8481391714951536]","[0.5165226333017575, -0.041416509088396815, 0.20928226643306058]",stone,0.301272374,0.827580482,"[0, 0, 0]",0,509.622752,517.6351163,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.49965359811538285, 0.03780389535961763, 0.021999999997997455]","[0.0, 0.0, 0.4948119979839617, 0.8690000498567995]","[0.5163094709543403, -0.02043249978364018, 0.26334999899244627]",cube,0.744096973,0.853818704,"[0, 0, 0]",0,517.3530468,513.7886855,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5454676225164734, 0.021974914118694122, 0.029000091983273368]","[0.0, 0.0, 0.42483774466184193, 0.9052695127478002]","[0.524006981528076, -0.0059603168705785955, 0.26157014792654426]",stone,0.696443739,0.81548353,"[0, 0, 0]",0,511.48222,512.7557822,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4885639026994142, 0.012165041163756343, 0.02199999999911651]","[0.0, 0.0, 0.17255079108235688, 0.9850006215718103]","[0.5455633028495751, -0.04474160776813122, 0.2217317106947281]",cube,0.329827743,0.452798415,"[0, 0, 0]",0,510.1662045,507.9982152,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5157330285387263, 0.07202214304415626, 0.029000094445251146]","[0.0, 0.0, -0.23584976347760875, 0.9717895292024689]","[0.5478630989889871, 0.010633623226583303, 0.203124534338125]",stone,0.618331822,0.924131301,"[0, 0, 0]",0,521.8289593,507.8440445,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5415751519279999, -0.06152037061995927, 0.02900009564645958]","[0.0, 0.0, -0.305084468086573, 0.9523252949136303]","[0.5211508793392757, 0.04140593461570889, 0.20597210543898734]",stone,0.259960581,0.721795063,"[0, 0, 0]",0,511.7379447,507.8360982,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.45567918650194356, -0.01106763049509335, 0.021999999999349554]","[0.0, 0.0, -0.2983501959927158, 0.9544564738903016]","[0.4578828032618037, -0.03828114501075445, 0.289450527440633]",cube,0.242254206,0.478372923,"[0, 0, 0]",0,519.0934666,507.8322483,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4807730983058508, -0.07938861025486883, 0.029000076644827715]","[0.0, 0.0, 0.2700783533410218, 0.9628383473130898]","[0.5177127223929234, 0.020526887057461057, 0.24734587268231745]",stone,0.349879799,0.443289286,"[0, 0, 0]",0,511.6325769,507.7644631,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
