object_position,object_orientation,robot_pose,object_name,object_mass,object_friction,position_noise,orientation_noise,pregrasp_reward,grasp_reward,pregrasp_grasp_checkpoint,grasp_checkpoint
"[0.5, 0.0, 0.021999999999203077]","[0.0, 0.0, 0.0, 1.0]","[0.5471648265210137, 0.03945400146119313, 0.2672287373032685]",cube,0.298809944,0.871886257,"[-0.001460277630923986, -0.003183124114846652, 0.0]",0.131357422,512.2812522,508.3414401,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.021999999998746165]","[0.0, 0.0, 0.0, 1.0]","[0.5225652614599066, 0.013570598092258718, 0.24481126881200962]",cube,0.468379898,0.52897264,"[-0.0024087853499821154, -0.0024589456925575535, 0.0]",-0.12289799,514.981,508.3090291,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.021999999998506273]","[0.0, 0.0, 0.0, 1.0]","[0.5327159316876162, -0.029700540035341075, 0.28740193393752045]",cube,0.557319257,0.982861052,"[0.004485710003187127, -0.0012669645847841514, 0.0]",0.093054352,518.3104506,505.5894593,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.021999999998276665]","[0.0, 0.0, 0.0, 1.0]","[0.4542905153305872, -0.038439194994388484, 0.29489661345412]",cube,0.642461585,0.907296163,"[-0.004638818442145773, -0.002125478953602589, 0.0]",-0.106304397,516.675777,505.5828397,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.021999999999305832]","[0.0, 0.0, 0.0, 1.0]","[0.5408851259003641, 0.02406047937367703, 0.2869485912037072]",cube,0.260581857,0.495207938,"[-0.0033133779212288408, -0.0017295228312649309, 0.0]",-0.106185755,518.3122147,505.5752586,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.02199999999922423]","[0.0, 0.0, 0.0, 1.0]","[0.46682391662837613, -0.0452538687607936, 0.22708657574754826]",cube,0.291120227,0.901381554,"[-0.0002466119670374422, -0.0010012030493963923, 0.0]",-0.069366451,513.5692791,504.065906,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.021999999998807276]","[0.0, 0.0, 0.0, 1.0]","[0.4705531567771052, 0.026930181744731482, 0.2941859363978261]",cube,0.445675037,0.883977278,"[4.7666675788810356e-05, -0.0016139069427336338, 0.0]",-0.080683783,516.7041004,502.8,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.021999999998637217]","[0.0, 0.0, 0.0, 1.0]","[0.4858905077124389, -0.018298349393219282, 0.26849530509395303]",cube,0.508941824,0.542958748,"[0.0029867137219551842, -0.0024796635649666316, 0.0]",0.065750008,517.4530246,502.7665209,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.02199999999879105]","[0.0, 0.0, 0.0, 1.0]","[0.5145523984122945, -0.046276246324036964, 0.2367957021848041]",cube,0.451844062,0.759358323,"[0.0001397192579662013, -0.00447390964547442, 0.0]",-0.077177276,510.059098,501.3427529,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.021999999998270216]","[0.0, 0.0, 0.0, 1.0]","[0.4911535909443296, -0.04319854085226406, 0.27314568300517517]",cube,0.645096689,0.632303097,"[0.0007007858618285571, -0.003969793756996116, 0.0]",0.079859319,512.324375,501.3366633,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
