object_position,object_orientation,robot_pose,object_name,object_mass,object_friction,position_noise,orientation_noise,pregrasp_reward,grasp_reward,pregrasp_grasp_checkpoint,grasp_checkpoint
"[0.4565227856678638, -0.023467244928797475, 0.02900009521794633]","[0.0, 0.0, -0.27797413563200724, 0.9605885591238522]","[0.5397762015510639, -0.044683230812670394, 0.23455372172827213]",stone,0.673430473,0.813343465,"[0, 0, 0]",0,513.8760191,554.1585915,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5246695066973266, -0.04913697508559707, 0.029000078902748288]","[0.0, 0.0, -0.40808977257403045, 0.912941804016267]","[0.4502577716011121, -0.04768061374446006, 0.2598146792904165]",stone,0.689691675,0.894638234,"[0, 0, 0]",0,506.3303748,518.1762774,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.500566072584463, -0.0003366246094938796, 0.02900006840706148]","[0.0, 0.0, 0.3675098352649777, 0.9300196347301002]","[0.48933706306246333, -0.014209944011563662, 0.26861641078900483]",stone,0.777346806,0.889005768,"[0, 0, 0]",0,509.9756715,515.7475249,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.49057517169288856, -0.0031149029724510113, 0.029000066484007915]","[0.0, 0.0, 0.384747658997126, 0.9230217976278953]","[0.5117270672127782, -0.023104913995666766, 0.266760102135325]",stone,0.347643499,0.862392565,"[0, 0, 0]",0,511.222983,515.6371234,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5056006303482365, -0.013211933712000634, 0.029000092480018724]","[0.0, 0.0, 0.4651931751185422, 0.8852091898659488]","[0.46645828089485164, -0.03914716937541982, 0.23533535411673476]",stone,0.235325941,0.959000075,"[0, 0, 0]",0,505.5315599,515.2668262,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4678586526816103, 0.041993093816174165, 0.029000062189442954]","[0.0, 0.0, -0.48707872190694146, 0.8733580701324631]","[0.5337145576849007, -0.0029404825688136987, 0.27326914041236533]",stone,0.457522975,0.797875458,"[0, 0, 0]",0,510.5868864,515.0975235,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5327638433269994, 0.06862382939180638, 0.02900007912501719]","[0.0, 0.0, -0.49252184167319546, 0.8703000835774083]","[0.5233477072473975, -0.00865517882422625, 0.23623743343347398]",stone,0.584960147,0.817117063,"[0, 0, 0]",0,509.0047848,515.0435726,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.46155882482742644, -0.0773983572418136, 0.029000069084203006]","[0.0, 0.0, 0.14007187462763268, 0.990141338364529]","[0.5207905394659472, -0.020716737401401033, 0.24348760992708302]",stone,0.674751246,0.82845081,"[0, 0, 0]",0,511.6501669,513.372423,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5361493789639468, -0.0007418446698238546, 0.02900007330174232]","[0.0, 0.0, -0.4358948497514082, 0.8999975999746873]","[0.5141579146035602, 0.019208182699257337, 0.20456760237097835]",stone,0.636803627,0.60122224,"[0, 0, 0]",0,503.5321772,512.7387904,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.49649769126202736, -0.04336384725852607, 0.029000077823990254]","[0.0, 0.0, -0.5339156049656217, 0.8455377737122063]","[0.5409950705971944, -0.04677685477380066, 0.22149188740494935]",stone,0.40015576,0.404622633,"[0, 0, 0]",0,509.3347506,512.5651848,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4773765677883349, 0.012602033326422374, 0.02900007578283164]","[0.0, 0.0, 0.3117105768163373, 0.9501770973354526]","[0.510366390162145, 0.026899659215561575, 0.2967982854048673]",stone,0.472624559,0.720718684,"[0, 0, 0]",0,513.3912013,510.4395753,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5408217245132981, 0.023979568178172303, 0.029000104284586253]","[0.0, 0.0, 0.07233163830037391, 0.9973806365178661]","[0.4786084197925474, -0.02518084770492588, 0.24797020774064898]",stone,0.242684075,0.97019316,"[0, 0, 0]",0,510.1697929,508.2757026,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4709699437684699, -0.05760497170270682, 0.02900010800547767]","[0.0, 0.0, 0.09544689927499665, 0.9954345229189053]","[0.5394748860582411, -0.022856176143277132, 0.25858041640407375]",stone,0.541068616,0.470257719,"[0, 0, 0]",0,513.0583087,508.1196114,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.45840969564672607, -0.06136526634469788, 0.029000107437262373]","[0.0, 0.0, 0.0997304623662506, 0.9950144897820402]","[0.49809920841706745, -0.036906537762910065, 0.20289883437588746]",stone,0.689730896,0.631061749,"[0, 0, 0]",0,511.0266495,508.1125685,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4560978064776234, -0.04381589834629063, 0.029000095441593855]","[0.0, 0.0, -0.22892482903885203, 0.9734441035054516]","[0.503031765453169, 0.002372700525536217, 0.281245350506141]",stone,0.255752839,0.657571763,"[0, 0, 0]",0,512.9803775,507.9810736,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4534164877841738, 0.02380948726492388, 0.02900007852392413]","[0.0, 0.0, -0.3488036313131917, 0.9371958316076374]","[0.5198847689809507, -0.0063667980511006445, 0.24650623494367865]",stone,0.43210169,0.541286469,"[0, 0, 0]",0,509.1721574,507.7384022,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5340536892924619, 0.047770448213669006, 0.029000069745142246]","[0.0, 0.0, 0.33456322546935374, 0.9423733061603254]","[0.5364203184791864, -0.02985171228471938, 0.2997143982951398]",stone,0.390243671,0.50767447,"[0, 0, 0]",0,514.6681252,507.699991,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.45285630764646795, -0.04914632133982537, 0.029000082461044074]","[0.0, 0.0, -0.37760435733278347, 0.9259670346849803]","[0.4878043054713854, 0.015767447909976473, 0.2837030031669702]",stone,0.288483779,0.532225986,"[0, 0, 0]",0,510.7554024,507.6931346,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5136860961417139, -0.029177141726955645, 0.0290000729287263]","[0.0, 0.0, -0.3864228535712799, 0.9223217324978465]","[0.5148017237079173, -0.035728403876015995, 0.27875049605907776]",stone,0.218865177,0.568305249,"[0, 0, 0]",0,510.9621144,507.689771,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5344245470581807, -0.07092939215510709, 0.029000102282664676]","[0.0, 0.0, -0.10072376646490541, 0.9949144299230579]","[0.532484516707087, -0.013612802985982407, 0.21572383392508945]",stone,0.537070501,0.771341722,"[0, 0, 0]",0,505.79589,505.536047,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5062041994397036, 0.014887451320156592, 0.02900009936405131]","[0.0, 0.0, -0.15406307287752433, 0.9880610151076373]","[0.4696966098497153, 0.04335723386740768, 0.2300133419369515]",stone,0.609614036,0.914735204,"[0, 0, 0]",0,505.104569,505.3271869,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5046771864131845, 0.07280604207490048, 0.02900009826903119]","[0.0, 0.0, -0.16288979049265456, 0.9866442703189732]","[0.5060569893343884, 0.04243051794893113, 0.24152449570928258]",stone,0.451714944,0.92136621,"[0, 0, 0]",0,512.1664981,505.3211208,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.51327988386526, 0.07329850968987185, 0.029000092099785227]","[0.0, 0.0, 0.1665506296191585, 0.9860329040014141]","[0.5289698860389225, 0.006275935369730999, 0.211849074336929]",stone,0.297308787,0.713543079,"[0, 0, 0]",0,525.7997999,505.2700471,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4853864927152554, 0.04883428437192898, 0.02900009100535943]","[0.0, 0.0, -0.2886449022172216, 0.9574362226404486]","[0.48996923106645174, -0.0007625857618610357, 0.28348215418086115]",stone,0.718722505,0.924864404,"[0, 0, 0]",0,511.2145417,505.2576673,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.466225326045731, 0.04929964822305423, 0.029000088298583995]","[0.0, 0.0, 0.40591106336940674, 0.9139125825998444]","[0.4681058684400312, -0.049995424999719276, 0.22366940505920593]",stone,0.225259078,0.513039406,"[0, 0, 0]",0,507.5535642,505.0485836,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.47555806329522826, -0.057405796619632576, 0.02900010011346485]","[0.0, 0.0, -0.030354831024694596, 0.999539185941933]","[0.45324667590073225, 0.018327070814402407, 0.20520799750500396]",stone,0.395208887,0.973640414,"[0, 0, 0]",0,512.1109826,502.8,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.48532889978375154, 0.044266514354396685, 0.029000100199577043]","[0.0, 0.0, -0.0036643137506559807, 0.999993286379832]","[0.5109599126491378, 0.02457580085780961, 0.21296873006739617]",stone,0.483935685,0.638410737,"[0, 0, 0]",0,504.4098752,502.7771773,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5347292957407266, -0.06873682174304308, 0.029000100921156804]","[0.0, 0.0, -0.11588169323689662, 0.9932630231577887]","[0.5114783547159172, 0.03907100673391982, 0.2579732856514987]",stone,0.69657233,0.585549272,"[0, 0, 0]",0,513.605743,502.7611415,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5092128746213714, 0.02960201995134494, 0.029000100655144335]","[0.0, 0.0, -0.1366011307220027, 0.9906261308311377]","[0.45869284104010505, 0.010803018762001439, 0.2843401019648131]",stone,0.573590587,0.657404151,"[0, 0, 0]",0,512.1339422,502.7560612,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5311537945254601, -0.03228728078578117, 0.02900009167210197]","[0.0, 0.0, -0.1521270560425626, 0.9883609456164397]","[0.4934078508880228, 0.036723681040175316, 0.265949233406584]",stone,0.43656528,0.69116813,"[0, 0, 0]",0,512.3760358,502.7143685,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4854140388035312, -0.04867035998089101, 0.02900009621242581]","[0.0, 0.0, 0.14984062001656845, 0.9887101640991915]","[0.5227273156343515, 0.03351423230694367, 0.2518144902241867]",stone,0.24699754,0.490160525,"[0, 0, 0]",0,512.2931008,502.6579197,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5395930475606203, 0.0791452311074604, 0.029000098299113798]","[0.0, 0.0, -0.15551592900289854, 0.9878333846486286]","[0.5158990102279727, 0.03213270958065771, 0.20186689880432002]",stone,0.740327617,0.728375684,"[0, 0, 0]",0,504.017891,502.6488929,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4584080748252, 0.07678690982318383, 0.029000075859571706]","[0.0, 0.0, 0.26104580657325643, 0.9653264146756361]","[0.5449387030421665, 0.005441164622756713, 0.28195673091704937]",stone,0.343767589,0.41312904,"[0, 0, 0]",0,516.6007688,502.5930523,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5095286398243732, -0.027238618736491735, 0.029000102218664125]","[0.0, 0.0, -0.042899542412981335, 0.9990793908697931]","[0.4895594968673042, -0.028487735160711403, 0.2956964558810885]",stone,0.340891998,0.481117907,"[0, 0, 0]",0,509.0855777,495.7881839,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.47698215719012815, -0.056745637071460756, 0.029000091829311958]","[0.0, 0.0, -0.23788159180606513, 0.9712941615596238]","[0.48413937737681895, -0.044132387583878975, 0.24842186428810814]",stone,0.620232051,0.998984736,"[0, 0, 0]",0,513.958129,253.759659,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.49296990502397964, 0.0595671309719515, 0.029000069622829926]","[0.0, 0.0, -0.47479949056176, 0.8800939971175199]","[0.4877279122006524, -0.022286475278678664, 0.2892906992185585]",stone,0.769979395,0.554219374,"[0, 0, 0]",0,507.7503974,17.84627907,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.492770435055972, -0.03531919498090044, 0.029000084855267276]","[0.0, 0.0, 0.4143636149757088, 0.9101114187747907]","[0.5235343759744275, 0.0023939080412828523, 0.23009210271058772]",stone,0.654358401,0.745225382,"[0, 0, 0]",0,509.4343961,10.44027516,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.49538000631731793, -0.022233502753612522, 0.029000074778981012]","[0.0, 0.0, 0.35141310374707424, 0.9362205031480821]","[0.5162338671238788, -0.007550343354977437, 0.2906615815185516]",stone,0.791600319,0.533853348,"[0, 0, 0]",0,507.0746669,10.26817392,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5197200420094821, 0.01798337565327779, 0.02900006711929608]","[0.0, 0.0, -0.38096388654028956, 0.9245899183703645]","[0.5468534289456076, -0.04587454102161562, 0.2503958265028427]",stone,0.684332281,0.528635806,"[0, 0, 0]",0,505.4306738,7.690970632,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4851394340243101, -0.07500205086863254, 0.02900010165199179]","[0.0, 0.0, -0.0018016347297092235, 0.9999983770548334]","[0.4595454764469801, -0.03440189981947103, 0.20067152565217905]",stone,0.269034795,0.905989239,"[0, 0, 0]",0,507.8132227,5.588739882,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.46967105373518936, 0.017426519274855445, 0.029000095201906002]","[0.0, 0.0, -0.313315074574559, 0.9496492321085395]","[0.46185592071810305, -0.025857769522205133, 0.2739450959935766]",stone,0.725893322,0.481716705,"[0, 0, 0]",0,506.4255118,5.196244326,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4912234538318425, -0.06600433707930771, 0.029000106316450665]","[0.0, 0.0, 0.11336261793424243, 0.9935536809126596]","[0.5148138688161221, 0.007964762542372092, 0.2710332417361518]",stone,0.569362764,0.827945861,"[0, 0, 0]",0,512.116761,2.973594026,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5003110682611205, 0.06198171073817245, 0.02900009205111342]","[0.0, 0.0, 0.06763293508688303, 0.9977102716177345]","[0.5119577006335426, -0.030285793129860475, 0.25143290841637567]",stone,0.524954581,0.42641049,"[0, 0, 0]",0,508.1173184,2.736867207,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.49112651711597266, 0.04879258253701259, 0.029000079281997795]","[0.0, 0.0, -0.5306483577232075, 0.8475920719577683]","[0.549646336410654, 0.010169225297567273, 0.2650101109517165]",stone,0.335850736,0.829029528,"[0, 0, 0]",0,509.6166416,2.27753198,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4549271574541517, 0.07364261111516447, 0.0290000722194275]","[0.0, 0.0, 0.2298660121184194, 0.9732222852322971]","[0.502261632317063, 0.020069042526016295, 0.2883805136441982]",stone,0.468787924,0.743667234,"[0, 0, 0]",0,510.1197758,0.157509508,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5348653003914441, 0.014291716301140525, 0.02900009788406008]","[0.0, 0.0, -0.32532385468902925, 0.9456026594560061]","[0.5377585745898076, 0.0009322903878190777, 0.2057014607328173]",stone,0.425719386,0.793977123,"[0, 0, 0]",0,503.7492248,0.145227474,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4583328261783517, 0.05312504713609932, 0.029000078403811216]","[0.0, 0.0, -0.48508095283853914, 0.8744692499986806]","[0.4703140205431972, 0.014197681242634777, 0.26986333540706386]",stone,0.379206055,0.793060354,"[0, 0, 0]",0,510.8829245,-0.118835193,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5337587909139263, 0.01145324452610827, 0.029000070257485223]","[0.0, 0.0, 0.4093399654960636, 0.9123819335386258]","[0.46097282187147165, 0.02674875428769069, 0.25021919143175614]",stone,0.327019947,0.838411964,"[0, 0, 0]",0,505.172142,-0.125684248,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5369851454021104, 0.046461534132134705, 0.029000100564644457]","[0.0, 0.0, 0.5065078623004137, 0.8622353422516762]","[0.5388598586437814, 0.007587759370339932, 0.25010605789236157]",stone,0.38545687,0.908639604,"[0, 0, 0]",0,508.8436738,-0.206280289,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5035841968681041, 0.037886323459332766, 0.029000088407369486]","[0.0, 0.0, -0.23204656318438416, 0.9727046789824317]","[0.4845974273297624, -0.04994860827343485, 0.23951641142793817]",stone,0.715306762,0.572572546,"[0, 0, 0]",0,502.1038202,-2.435646801,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
