object_position,object_orientation,robot_pose,object_name,object_mass,object_friction,position_noise,orientation_noise,pregrasp_reward,grasp_reward,pregrasp_grasp_checkpoint,grasp_checkpoint
"[0.5, 0.0, 0.02900009905523429]","[0.0, 0.0, 0.0, 1.0]","[0.5218287813549118, 0.016349638330596827, 0.21623810617951686]",stone,0.439998424,0.731336254,"[-0.004709217183522223, -0.004932150044769784, 0.0]",0.016974142,504.2780318,505.5658041,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.021999999999282586]","[0.0, 0.0, 0.0, 1.0]","[0.48150370055770786, 0.03718977463173409, 0.2009317825636934]",cube,0.269497593,0.480418384,"[0.0007487761991097526, -0.0033689798645278757, 0.0]",-0.010568208,510.8360292,505.5615123,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.0345000025418897]","[0.0, 0.0, 0.0, 1.0]","[0.46109142307829093, 0.026155290377255905, 0.25865902675881525]",cylinder,0.724605494,0.893452787,"[-0.0017824477722898136, -0.0030098923347094274, 0.0]",-0.079882852,510.1071831,505.5591182,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.021999999999300413]","[0.0, 0.0, 0.0, 1.0]","[0.5402593910439095, 0.01005315344732386, 0.24539467618213787]",cube,0.262792557,0.475654048,"[-0.002923972719640976, -0.0038510903710638486, 0.0]",0.048040272,509.9203316,504.9771282,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.029000076332382344]","[0.0, 0.0, 0.0, 1.0]","[0.5251513745730404, 0.028201335672171285, 0.284576644670852]",stone,0.766132962,0.930623369,"[-0.0033704173421040774, -0.0005339345202989149, 0.0]",0.142990443,514.1305302,502.8,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.02900010135065556]","[0.0, 0.0, 0.0, 1.0]","[0.541961721877135, -0.0007005354880025988, 0.2799896288953444]",stone,0.751538331,0.635757939,"[-0.003019265191208693, -0.0003378167119347103, 0.0]",-0.169622344,511.1168389,502.8,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000159695188]","[0.0, 0.0, 0.0, 1.0]","[0.451029180672098, 0.017637544911904182, 0.24394943822873538]",cylinder,0.464317216,0.820521897,"[-0.0040269316859599304, -0.002514703850101445, 0.0]",-0.031254222,510.4163832,502.8,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.029000096335098216]","[0.0, 0.0, 0.0, 1.0]","[0.46653630047748557, -0.026532021616164327, 0.24395096729374882]",stone,0.320208359,0.799877087,"[0.0012306863636357456, -0.0013819814290209455, 0.0]",-0.066926405,510.3002259,502.8,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.02900010047766035]","[0.0, 0.0, 0.0, 1.0]","[0.5389924387328028, 0.012802279314295936, 0.24786384585897706]",stone,0.255196614,0.817146224,"[-0.002771151884389053, -0.0005038129965610084, 0.0]",0.01575556,510.1851839,502.8,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.029000083688486847]","[0.0, 0.0, 0.0, 1.0]","[0.5247283953361346, -0.024380138361903437, 0.212206741751047]",stone,0.423125684,0.978422101,"[0.0033015579591418936, -0.003556757737532376, 0.0]",0.074993112,507.7847763,502.8,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
