object_position,object_orientation,robot_pose,object_name,object_mass,object_friction,position_noise,orientation_noise,pregrasp_reward,grasp_reward,pregrasp_grasp_checkpoint,grasp_checkpoint
"[0.49347379328275287, 0.005111054220090783, 0.02199999999898208]","[0.0, 0.0, 0.41623408013122487, 0.9092574940781698]","[0.5483370067898354, -0.0239401517514639, 0.2650378534134634]",cube,0.378503027,0.613282074,"[0, 0, 0]",0,514.8546572,512.8483567,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5360745060287175, 0.0457258832533058, 0.021999999998646807]","[0.0, 0.0, 0.4066895711683619, 0.9135664139529724]","[0.4654426285688943, -0.020151562593937966, 0.21599973531442335]",cube,0.502926064,0.429736822,"[0, 0, 0]",0,510.3162584,512.778307,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5292986874692116, 0.046543190375147495, 0.02900007652752519]","[0.0, 0.0, -0.5007868722157459, 0.8655706260129038]","[0.5069865599264438, 0.04982502703226005, 0.24898932878960045]",stone,0.798692697,0.59755158,"[0, 0, 0]",0,508.8883316,512.658373,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5203598216231352, -0.0020418864780585577, 0.021999999998154756]","[0.0, 0.0, -0.18574539163239046, 0.9825979083467102]","[0.5040205518660442, -0.03300849278841625, 0.273347801939294]",cube,0.686551426,0.68736538,"[0, 0, 0]",0,511.1554652,510.9114497,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.503250493210393, 0.039370644415737385, 0.02199999999888137]","[0.0, 0.0, 0.3640065875039259, 0.9313963733307892]","[0.47511282973642355, 0.0053447955455170545, 0.20044887232726943]",cube,0.415881962,0.516757808,"[0, 0, 0]",0,508.546931,510.2881667,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4649874203982512, -0.05482960861770138, 0.021999999997985853]","[0.0, 0.0, -0.2329113029731697, 0.9724979819759733]","[0.4707394087617436, -0.028662217854257366, 0.21547306826063084]",cube,0.748586375,0.943383342,"[0, 0, 0]",0,518.9859315,506.4922723,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.47841437192478214, 0.043394368056050875, 0.021999999998712088]","[0.0, 0.0, -0.4507167960972035, 0.8926669982226697]","[0.5220148357931037, 0.0016512218598933176, 0.28511969737543535]",cube,0.478825737,0.755035219,"[0, 0, 0]",0,518.9077948,505.6600667,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5067803598971383, 0.003982491208663591, 0.029000096476609793]","[0.0, 0.0, -0.02843270549946802, 0.9995957089033448]","[0.5315653059270475, 0.031133233736900537, 0.2479483953252275]",stone,0.605199903,0.91450199,"[0, 0, 0]",0,512.0184737,505.5654553,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5034252354867493, -0.05575075043992257, 0.029000088741464144]","[0.0, 0.0, 0.17398529824216377, 0.9847482500596715]","[0.5104956759156876, 0.03933240216377336, 0.26970080405717956]",stone,0.215459329,0.95812508,"[0, 0, 0]",0,513.0056172,505.2067914,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5231789900564686, -0.03178704162992096, 0.021999999999220372]","[0.0, 0.0, 0.21084190544837494, 0.9775201741687476]","[0.4970269362790641, -0.0073365125781228585, 0.23243024158469605]",cube,0.290894065,0.865917778,"[0, 0, 0]",0,509.2374648,505.0466106,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.46395236914584803, 0.02206594456805043, 0.02199999999860341]","[0.0, 0.0, 0.16657828312149198, 0.9860282326547735]","[0.48710578963046247, 0.047769638764687275, 0.227729891065764]",cube,0.520283047,0.862528857,"[0, 0, 0]",0,507.9488755,503.6540103,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5440713120468129, 0.010467035775570815, 0.021999999999434316]","[0.0, 0.0, -0.37749174571779076, 0.9260129491075894]","[0.5215113617705878, -0.013724908667097045, 0.22982044170414462]",cube,0.210687831,0.714054751,"[0, 0, 0]",0,509.3454506,503.2842211,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4878251887998216, 0.036432936659920354, 0.029000101507384357]","[0.0, 0.0, -0.09653575747390783, 0.9953295170590184]","[0.5060912469104782, -0.013547118980801597, 0.26577796319772606]",stone,0.710748772,0.739381448,"[0, 0, 0]",0,511.3528444,502.7660889,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5299832246690451, 0.030884935201345526, 0.029000096538223885]","[0.0, 0.0, 0.09174836422848037, 0.9957822240135632]","[0.511523050957897, -0.034417675765299874, 0.21359460916750939]",stone,0.395384257,0.665755278,"[0, 0, 0]",0,514.2285524,502.7107193,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4548276767504614, 0.06956394854316635, 0.0290001035151294]","[0.0, 0.0, -0.11635438424506624, 0.9932077613807453]","[0.4975133118950741, 0.029108380868730258, 0.24028471157057746]",stone,0.293427571,0.631692808,"[0, 0, 0]",0,514.6595122,502.6846506,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.523823630935126, 0.06139143290929065, 0.02900010166626775]","[0.0, 0.0, -0.14508579077729833, 0.989419078709586]","[0.5064095720047246, -0.024909380706007914, 0.21330008438054038]",stone,0.333731579,0.478070714,"[0, 0, 0]",0,510.2341703,502.6832926,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
