object_position,object_orientation,robot_pose,object_name,object_mass,object_friction,position_noise,orientation_noise,pregrasp_reward,grasp_reward,pregrasp_grasp_checkpoint,grasp_checkpoint
"[0.5, 0.0, 0.034500001449781194]","[0.0, 0.0, 0.0, 1.0]","[0.4986250793035024, -0.031944035118680325, 0.2945489625843639]",cylinder,0.421784668,0.976880549,"[0, 0, 0]",0,520.6420144,2.742372265,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000249772944]","[0.0, 0.0, 0.0, 1.0]","[0.5441863826940847, 0.023104479334286804, 0.2905822688550148]",cylinder,0.713185879,0.767754166,"[0, 0, 0]",0,520.5802397,505.5357169,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.034500000661002984]","[0.0, 0.0, 0.0, 1.0]","[0.4979921684502814, 0.018671053865033344, 0.29421063115984514]",cylinder,0.202959664,0.885537994,"[0, 0, 0]",0,520.5438792,2.752848868,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.034500001235740214]","[0.0, 0.0, 0.0, 1.0]","[0.5113415084655137, 0.045486629674195686, 0.2815423964927989]",cylinder,0.362195295,0.98589588,"[0, 0, 0]",0,519.4169445,2.733104004,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000137253992]","[0.0, 0.0, 0.0, 1.0]","[0.47445698601739705, 0.01258173368501464, 0.2973756227983839]",cylinder,0.40054218,0.850434558,"[0, 0, 0]",0,518.8716592,2.770389756,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.034500000756223136]","[0.0, 0.0, 0.0, 1.0]","[0.5259051295679316, -0.045888916405131874, 0.26065884436024245]",cylinder,0.230683323,0.565677041,"[0, 0, 0]",0,518.2359937,502.7393215,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000076097128]","[0.0, 0.0, 0.0, 1.0]","[0.4527182716419277, -0.015190850640689861, 0.2943265467942595]",cylinder,0.231998627,0.443995224,"[0, 0, 0]",0,515.6320885,502.7474304,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.034500000879904416]","[0.0, 0.0, 0.0, 1.0]","[0.4650420311704896, -0.024923297024131576, 0.29356796161209775]",cylinder,0.264224127,0.791521368,"[0, 0, 0]",0,512.5016851,2.764175422,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.034500001231328126]","[0.0, 0.0, 0.0, 1.0]","[0.5306906590479537, 0.045419160743366147, 0.295410041582444]",cylinder,0.362307094,0.952716585,"[0, 0, 0]",0,512.339082,-1.437165647,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000166447348]","[0.0, 0.0, 0.0, 1.0]","[0.4518997851059091, -0.045411780077974084, 0.27445387287217526]",cylinder,0.480741325,0.426107629,"[0, 0, 0]",0,511.3649793,502.778113,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.0345000019141077]","[0.0, 0.0, 0.0, 1.0]","[0.532087922212913, 0.005479568884994457, 0.28136225840958273]",cylinder,0.549089886,0.468886688,"[0, 0, 0]",0,511.1125789,491.5308728,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.034500002401940545]","[0.0, 0.0, 0.0, 1.0]","[0.48806718065393395, 0.02234318459521384, 0.2815872890711962]",cylinder,0.686441034,0.600518244,"[0, 0, 0]",0,511.0793898,495.7695929,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000067102462]","[0.0, 0.0, 0.0, 1.0]","[0.49876956233310377, 0.042833401106772626, 0.2822931382071764]",cylinder,0.206711423,0.496509059,"[0, 0, 0]",0,511.0696457,495.786029,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000269376215]","[0.0, 0.0, 0.0, 1.0]","[0.5218584313808124, -0.03920654044160809, 0.24283478488660767]",cylinder,0.766221117,0.527029448,"[0, 0, 0]",0,510.3996205,2.8,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000170768291]","[0.0, 0.0, 0.0, 1.0]","[0.4617467370451268, -0.04894611534243433, 0.2554647819886814]",cylinder,0.49337628,0.411938652,"[0, 0, 0]",0,510.1850935,495.7865603,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000065979764]","[0.0, 0.0, 0.0, 1.0]","[0.4623308644990992, 0.04848474908539657, 0.24907946158140049]",cylinder,0.203487776,0.407126476,"[0, 0, 0]",0,510.1740274,502.7618498,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000266455037]","[0.0, 0.0, 0.0, 1.0]","[0.47363940508001995, 0.02855985172451725, 0.257126986731018]",cylinder,0.760072556,0.536304155,"[0, 0, 0]",0,510.1020039,498.5715669,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000111391194]","[0.0, 0.0, 0.0, 1.0]","[0.4884152462925514, 0.015906540480063125, 0.2603865119209927]",cylinder,0.329666937,0.60508001,"[0, 0, 0]",0,510.0643798,-4.232893042,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000149612689]","[0.0, 0.0, 0.0, 1.0]","[0.456050115203744, 0.018389469554997206, 0.26179256681014773]",cylinder,0.435833495,0.996685941,"[0, 0, 0]",0,510.0238598,495.730494,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000183562443]","[0.0, 0.0, 0.0, 1.0]","[0.5489915515222796, 0.03255979973932362, 0.22999058659084334]",cylinder,0.529973712,0.784181685,"[0, 0, 0]",0,509.1678032,5.584832723,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.034500001114940365]","[0.0, 0.0, 0.0, 1.0]","[0.5428444394011402, 0.033607676079090695, 0.23678735207213342]",cylinder,0.330233458,0.76265891,"[0, 0, 0]",0,509.022033,505.5082539,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
