object_position,object_orientation,robot_pose,object_name,object_mass,object_friction,position_noise,orientation_noise,pregrasp_reward,grasp_reward,pregrasp_grasp_checkpoint,grasp_checkpoint
"[0.46285879031221094, -0.02674553017386179, 0.021999999998754415]","[0.0, 0.0, -0.1059079038597295, 0.9943759429411184]","[0.5356641692027377, -0.04011741159550687, 0.242703687363268]",cube,0.464650496,0.78362063,"[0, 0, 0]",0,510.0126238,587.0653259,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5477646519198633, 0.050587613762975756, 0.02199999999837962]","[0.0, 0.0, 0.49871440879035867, 0.8667663690204431]","[0.5269387048004738, -0.0080953805359004, 0.2237665858438376]",cube,0.602462221,0.731410618,"[0, 0, 0]",0,510.3716495,517.8612413,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.47222957849915326, -0.0455844322888106, 0.02199999999856157]","[0.0, 0.0, 0.3297977710419875, 0.9440516035766989]","[0.4797239768577336, -0.010610448238685108, 0.2637096660877124]",cube,0.534562519,0.723437759,"[0, 0, 0]",0,524.978689,514.3269192,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5311551403312189, 0.037505809487449845, 0.02199999999835443]","[0.0, 0.0, 0.3523239419689181, 0.9358781116766661]","[0.4576501529413563, 0.03471411196815852, 0.20915860375927858]",cube,0.611394236,0.594395076,"[0, 0, 0]",0,511.039589,513.0408232,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5018231204905973, -0.043886876228428844, 0.02199999999878213]","[0.0, 0.0, 0.4365883505871769, 0.899661387485074]","[0.49135977674688575, 0.004821997995693272, 0.2381115143548713]",cube,0.452728106,0.641325591,"[0, 0, 0]",0,526.4910742,512.7350495,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.46612862577980485, 0.012204805045554906, 0.021999999997910167]","[0.0, 0.0, 0.30042402783900796, 0.9538057472551668]","[0.45532382750747613, 0.007377593750314916, 0.20540916121221903]",cube,0.776343089,0.709589702,"[0, 0, 0]",0,507.9078196,510.5200469,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.49541466324315736, -0.054453845826888954, 0.021999999999448433]","[0.0, 0.0, 0.3567693477090216, 0.9341925029324948]","[0.46562269806518886, 0.007277298866016177, 0.20057247849817902]",cube,0.205479287,0.620314678,"[0, 0, 0]",0,507.4941733,510.2323961,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4776921061046235, 0.03681419866327702, 0.021999999999098713]","[0.0, 0.0, -0.16078628110288226, 0.9869892460453178]","[0.5144706425762022, -0.031798619913858225, 0.23873556329769782]",cube,0.336564098,0.682538909,"[0, 0, 0]",0,511.335728,508.2187553,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.49284598307800037, 0.07351060435491251, 0.021999999999352864]","[0.0, 0.0, -0.30386571076516833, 0.952714873307423]","[0.5467792666803846, -0.023531987153267445, 0.21187093493915726]",cube,0.241009459,0.575940624,"[0, 0, 0]",0,528.5114007,507.7848038,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5040162363223984, -0.06152713297076687, 0.02199999999829273]","[0.0, 0.0, -0.024762381785459517, 0.9996933652117089]","[0.4763151892947507, -0.0008757359732786268, 0.20885509171676025]",cube,0.636698368,0.597864957,"[0, 0, 0]",0,513.4926989,504.0512459,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
