object_position,object_orientation,robot_pose,object_name,object_mass,object_friction,position_noise,orientation_noise,pregrasp_reward,grasp_reward,pregrasp_grasp_checkpoint,grasp_checkpoint
"[0.4606039180463124, 0.05103069190905084, 0.029000096790078995]","[0.0, 0.0, 0.4462223862665694, 0.8949221094567775]","[0.4898473017878304, -0.014168143462451169, 0.2192192366831131]",stone,0.565529634,0.916490738,"[0, 0, 0]",0,508.1891947,520.8944577,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4600772062723352, -0.06232064999782862, 0.029000093196533086]","[0.0, 0.0, -0.2145653299228978, 0.9767096391431171]","[0.5213900764610949, 0.018526775554482497, 0.260231225442488]",stone,0.749952515,0.692496429,"[0, 0, 0]",0,507.9374684,518.9236702,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5309881864689898, -0.002546238200124909, 0.029000092962932905]","[0.0, 0.0, 0.4688725147456094, 0.883265851777441]","[0.4828387517231597, 0.029203375627246425, 0.22964450808621026]",stone,0.482618473,0.798107132,"[0, 0, 0]",0,504.2363363,512.653768,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4574714194312776, -0.05526619130842163, 0.029000090429001375]","[0.0, 0.0, 0.5080065566393358, 0.8613532018930709]","[0.5378020578783274, -0.039098316445973, 0.22158036385277793]",stone,0.217873542,0.92144883,"[0, 0, 0]",0,513.1914441,512.1998103,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5361183968892675, -0.06288881422527853, 0.029000082385305454]","[0.0, 0.0, 0.200701422309609, 0.9796524583151415]","[0.5431908669556957, 0.0060174565803956526, 0.24295492522528667]",stone,0.324961284,0.47713293,"[0, 0, 0]",0,507.3838569,510.6697164,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5064359318920308, -0.008632391427098846, 0.029000089184495172]","[0.0, 0.0, -0.36252000569179277, 0.9319759897514649]","[0.5346514845492394, 0.03978179614868828, 0.29960045320478423]",stone,0.423589295,0.917521757,"[0, 0, 0]",0,514.2715283,510.3877677,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4789121734634287, 0.04464016550350905, 0.02900008447493175]","[0.0, 0.0, 0.204233039320672, 0.9789222980655006]","[0.47800013203878666, 3.064390716561727e-05, 0.2779062816030879]",stone,0.630692198,0.50478068,"[0, 0, 0]",0,508.2999779,510.3698197,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.46304189992271094, -0.008935014220815912, 0.029000088076815683]","[0.0, 0.0, -0.3694684631371995, 0.929243269949821]","[0.5175426818917037, 0.046551518708541004, 0.28827116837650385]",stone,0.612900689,0.588751487,"[0, 0, 0]",0,513.3149023,510.3276374,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5088559389286126, -0.004060417390711543, 0.029000078742666337]","[0.0, 0.0, 0.34746534943726387, 0.9376928233384535]","[0.5396944933477855, 0.0392457919629951, 0.22855258467724007]",stone,0.707942759,0.765859504,"[0, 0, 0]",0,508.3286506,510.2724648,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5240898650510186, 0.05963380773601913, 0.029000078593545232]","[0.0, 0.0, -0.4504152524779966, 0.8928191868095032]","[0.5169180331774024, 0.023383118711772607, 0.24873798022630444]",stone,0.31367415,0.467839568,"[0, 0, 0]",0,508.9271804,510.1514007,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4629714608621546, 0.003723579358266116, 0.029000067423750105]","[0.0, 0.0, -0.4846456784117602, 0.8747105614983762]","[0.5068668049112389, -0.008643812802006913, 0.23304938560636512]",stone,0.276353443,0.806823066,"[0, 0, 0]",0,504.2563517,510.0894538,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
