object_position,object_orientation,robot_pose,object_name,object_mass,object_friction,position_noise,orientation_noise,pregrasp_reward,grasp_reward,pregrasp_grasp_checkpoint,grasp_checkpoint
"[0.5318927141497733, 0.02937293658100422, 0.02199999999925021]","[0.0, 0.0, 0.2740683347171982, 0.961710220339444]","[0.4777287652517735, -0.03333886207813566, 0.2081588988591516]",cube,0.279127427,0.753960923,"[-0.002497919599091254, -0.0017660649061280445, 0.0]",0.044600976,506.3351193,526.6834515,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.505664313928765, 0.07599688580183438, 0.02199999572726759]","[0.0, 0.0, -0.3889531894092921, 0.9212575190728917]","[0.5120057045802732, -0.03163595797030938, 0.2889245202271078]",cube,0.698713147,0.898008838,"[0.000939292808757001, -0.0012921939154052946, 0.0]",0.018277301,568.8774083,515.526597,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5476654468991872, -0.0786930668769555, 0.021999999998616727]","[0.0, 0.0, -0.48379803676241345, 0.8751796727671607]","[0.475500159847, 0.04371890113557192, 0.2804921018781895]",cube,0.514255318,0.716932607,"[0.0005613707287496304, -5.834962428458504e-05, 0.0]",0.000705204,519.4436328,512.7408328,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5404912808573655, -0.028489078854955815, 0.029000087997717278]","[0.0, 0.0, 0.45819251831787833, 0.8888529778076466]","[0.5072423533145307, -0.0026239292386793928, 0.2576940134874391]",stone,0.529194023,0.948321286,"[0.00045639138292025497, -0.0030577405697167276, 0.0]",-0.114630647,511.2463352,512.6279166,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.46219572979581286, 0.04995021462017142, 0.029000090719923977]","[0.0, 0.0, 0.48135143338773384, 0.8765276935588368]","[0.46787115318734535, -0.04539520164465382, 0.24166755913913596]",stone,0.695688103,0.691068367,"[-0.004353584565087086, -0.0021181095821445595, 0.0]",-0.128620714,509.8906178,512.6161184,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5370287321693898, 0.04241486558038743, 0.029000078158191177]","[0.0, 0.0, -0.31406746602466334, 0.9494006671499905]","[0.5476185507201407, 0.0035308825872718552, 0.2014196880753806]",stone,0.390816175,0.827630054,"[0.0013605776575491921, -0.003540291748426359, 0.0]",-0.128280621,507.494925,510.5519477,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5140399034359042, 0.0052838974317318405, 0.029000072208618187]","[0.0, 0.0, 0.310106303765747, 0.9507018882724206]","[0.4797541581017229, 0.04005185415847132, 0.2484197096252304]",stone,0.544598948,0.673751722,"[-0.004929875903053171, -0.004587063212921136, 0.0]",0.115374235,505.6826786,510.4536846,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4600782213219873, -0.01982579676521972, 0.029000084012582583]","[0.0, 0.0, -0.40198117741847383, 0.9156479307033121]","[0.5270391571345242, 0.031175422671826256, 0.250449003815987]",stone,0.588076417,0.908746174,"[-0.003918047848244972, -0.004624249792028684, 0.0]",0.04774611,510.1888603,510.2918799,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5126694662112043, -0.07548254775568124, 0.0290000796839294]","[0.0, 0.0, -0.47423634986222873, 0.880397571821589]","[0.4888611991757388, -0.00010291529412627398, 0.2904321615718742]",stone,0.304137016,0.948676492,"[0.0012665504665887754, -0.0007274636052575067, 0.0]",0.083770482,512.9956949,510.163075,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4612197984024384, -0.028540069194562305, 0.029000100635493277]","[0.0, 0.0, -0.18916512228098045, 0.9819452920160174]","[0.48997678143735474, 0.04575286287459489, 0.21690503919405638]",stone,0.584288714,0.936011137,"[0.0029890057137130074, -0.0029383576327264094, 0.0]",0.125317298,504.1743475,505.4171233,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
