object_position,object_orientation,robot_pose,object_name,object_mass,object_friction,position_noise,orientation_noise,pregrasp_reward,grasp_reward,pregrasp_grasp_checkpoint,grasp_checkpoint
"[0.5401524579723729, -0.018693099291626804, 0.02199999999791205]","[0.0, 0.0, 0.46821580939218155, 0.8836141442027874]","[0.4591724328491076, 0.04634736237900326, 0.26620876914542685]",cube,0.775767052,0.977310001,"[0, 0, 0]",0,511.8966962,523.5236928,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.49852032253262313, 0.05037188455606022, 0.021999999998727156]","[0.0, 0.0, 0.48124188601984136, 0.8765878433677176]","[0.5031316319986556, 0.03661925146201571, 0.24714131819509133]",cube,0.473388641,0.73895103,"[0, 0, 0]",0,511.138679,517.9753509,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.513595635293765, 0.00226217403497532, 0.021999999997884167]","[0.0, 0.0, 0.5241161968365736, 0.8516467649287267]","[0.48217164139730606, -0.042840317449243104, 0.2939216096029119]",cube,0.786326673,0.578860628,"[0, 0, 0]",0,511.1533003,517.7592989,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.4664334102727805, -0.047068677550373084, 0.02199999999813343]","[0.0, 0.0, 0.49597341975464426, 0.8683377032565633]","[0.46759162681025157, -0.021049276919158078, 0.2188873197347606]",cube,0.693792655,0.995524193,"[0, 0, 0]",0,510.3100615,516.2605851,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5337190681059122, -0.07113910515356714, 0.021999999998404275]","[0.0, 0.0, 0.4452506881615008, 0.8954059552469539]","[0.46811294456981906, 0.026800989976051293, 0.29289839604703594]",cube,0.592951785,0.990181597,"[0, 0, 0]",0,513.9122022,515.2999498,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.45956947301708617, -0.030364592874546813, 0.021999999998300632]","[0.0, 0.0, 0.36469985147334866, 0.931125135701597]","[0.529433413147654, 0.0287365626141782, 0.2804088159860711]",cube,0.63135006,0.568792301,"[0, 0, 0]",0,514.5640719,513.1052583,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5263137575097804, -0.06521305889933789, 0.02199999999813244]","[0.0, 0.0, 0.458558854652217, 0.8886640404675138]","[0.48151539345624594, 0.04455909097198778, 0.25660705759526237]",cube,0.6939416,0.974162676,"[0, 0, 0]",0,509.2937376,512.1924794,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.49888306343261396, 0.04328866845646291, 0.021999999998067093]","[0.0, 0.0, 0.018337544519483936, 0.999831853093807]","[0.5481450970194497, 0.038614014598308224, 0.2668685619019692]",cube,0.720452303,0.981423483,"[0, 0, 0]",0,517.4736368,511.1273143,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5018101430106721, 0.06248041401160649, 0.021999999999270402]","[0.0, 0.0, -0.2717470199114304, 0.9623687220443402]","[0.5491990453991925, -0.010490476839007425, 0.20665020496859252]",cube,0.271858409,0.466332315,"[0, 0, 0]",0,511.2603972,510.4763653,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.49334904968550775, 0.07009396346608444, 0.021999999998850116]","[0.0, 0.0, -0.3929753711185263, 0.9195489968969878]","[0.4944113957464953, -0.016055159723680455, 0.2027583178965709]",cube,0.42746928,0.878102826,"[0, 0, 0]",0,515.6579295,510.2455401,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
