object_position,object_orientation,robot_pose,object_name,object_mass,object_friction,position_noise,orientation_noise,pregrasp_reward,grasp_reward,pregrasp_grasp_checkpoint,grasp_checkpoint
"[0.5, 0.0, 0.03450000161023501]","[0.0, 0.0, 0.0, 1.0]","[0.4756143161808801, -0.0008646671650055712, 0.27453552098294864]",cylinder,0.46734137,0.902894006,"[-0.0003705584418234242, -0.003833424052654231, 0.0]",-0.060226417,511.3009342,502.8,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.034500002589513565]","[0.0, 0.0, 0.0, 1.0]","[0.4550576995024538, 0.018367019028893095, 0.24572493241110666]",cylinder,0.738418041,0.404435571,"[0.004451588664266671, -0.002376932629559318, 0.0]",-0.010359519,510.3327859,502.8,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000143259135]","[0.0, 0.0, 0.0, 1.0]","[0.5492843834743332, -0.047151713714740306, 0.24797267354758015]",cylinder,0.418214587,0.91530037,"[0.002793180402610472, -0.004223233737121404, 0.0]",0.003670059,510.1921901,502.8,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000165687211]","[0.0, 0.0, 0.0, 1.0]","[0.4962532887584382, 0.0037176132437409387, 0.2357297790261979]",cylinder,0.471185422,0.71254384,"[-0.0009231713957924227, -0.0006399380630039949, 0.0]",-0.139610429,509.0033791,502.8,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.034500002182437504]","[0.0, 0.0, 0.0, 1.0]","[0.5254330238871118, 0.0448222421211938, 0.28411308317567313]",cylinder,0.627038874,0.40924238,"[0.004029195951659593, -0.0027310414042245462, 0.0]",0.085814288,514.3636467,502.7757823,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000189088034]","[0.0, 0.0, 0.0, 1.0]","[0.5021174290877058, 0.048791477095112876, 0.2549362173624642]",cylinder,0.544369503,0.413531478,"[0.004243413952270277, -0.0006645912707857922, 0.0]",-0.024594094,521.8549793,502.7753179,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000106032286]","[0.0, 0.0, 0.0, 1.0]","[0.5190080100152089, -0.01609060941772788, 0.2951489829782671]",cylinder,0.312953632,0.993075465,"[0.004487649818118116, -0.0040941902572187655, 0.0]",0.166821623,520.4881354,502.7693273,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.034500002409508984]","[0.0, 0.0, 0.0, 1.0]","[0.4839963458602235, 0.027995275023779506, 0.24584925811371483]",cylinder,0.688732943,0.424762974,"[0.0020631396412274013, -0.0005914580424287962, 0.0]",0.086376562,510.3270709,502.7652975,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.034500000971154]","[0.0, 0.0, 0.0, 1.0]","[0.5220996914424992, 0.0040689872870346075, 0.2940504909121856]",cylinder,0.289780188,0.792006182,"[0.0005365554973179813, -0.0031096874906871453, 0.0]",-0.089875869,520.5600775,502.7448629,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000070357413]","[0.0, 0.0, 0.0, 1.0]","[0.5083128892563611, 0.02781092251212207, 0.2996793390905691]",cylinder,0.216148405,0.417831925,"[0.0022760205520572516, -0.0012281190922887402, 0.0]",-0.003238874,527.1133302,502.7080435,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000183988125]","[0.0, 0.0, 0.0, 1.0]","[0.46624270588292677, -0.025523886076522485, 0.2598933128108531]",cylinder,0.530852821,0.698270019,"[0.001847818783770527, -0.003871228519026651, 0.0]",-0.101398079,510.0844152,498.5592076,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.034500002335969726]","[0.0, 0.0, 0.0, 1.0]","[0.4809758236019097, -0.03104025589172248, 0.22748850877395244]",cylinder,0.667782336,0.430695214,"[-0.0031125747072450263, -0.0011726278500951543, 0.0]",0.006101928,502.9433065,498.5098549,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000147601837]","[0.0, 0.0, 0.0, 1.0]","[0.4919195784336579, 0.04019018835626996, 0.24603635121907175]",cylinder,0.430501047,0.920005723,"[0.002530042161577384, -0.00045413784324285864, 0.0]",0.051349,508.8497262,495.8,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000160378117]","[0.0, 0.0, 0.0, 1.0]","[0.4720047997478944, -0.04060362630477215, 0.2605219051169642]",cylinder,0.465552281,0.459957365,"[0.0022203342776218127, -0.004546962133297815, 0.0]",-0.100591341,510.1076864,495.7758384,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000218007567]","[0.0, 0.0, 0.0, 1.0]","[0.464268028541934, 0.0027946368747785444, 0.2619073305964543]",cylinder,0.624786108,0.459124343,"[0.004724471916966451, -0.002854902688939364, 0.0]",0.020564856,510.055075,495.7242979,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000229291757]","[0.0, 0.0, 0.0, 1.0]","[0.4710604200412036, -0.004524942033637791, 0.2874132163325678]",cylinder,0.656603134,0.89656831,"[0.002918448078660954, -0.0008425702629506161, 0.0]",-0.06248699,507.6188792,491.5672646,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.034500001148506376]","[0.0, 0.0, 0.0, 1.0]","[0.5204532107188966, -0.004672025259326695, 0.2084316675242802]",cylinder,0.339061436,0.528805799,"[-0.0034155373756363204, -0.0012646568806940301, 0.0]",0.107853164,502.9373195,491.5507498,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000119838284]","[0.0, 0.0, 0.0, 1.0]","[0.5053794223839745, -0.03920894036271434, 0.22587776179942287]",cylinder,0.353274509,0.548491066,"[0.0019972537275499214, -0.0022006240006919604, 0.0]",0.172301848,504.1767073,491.5403099,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
"[0.5, 0.0, 0.03450000188804104]","[0.0, 0.0, 0.0, 1.0]","[0.5415489704056526, 0.018793719167976217, 0.20253738835470447]",cylinder,0.537947868,0.662301984,"[0.0021723495508389956, -0.004020542003311807, 0.0]",0.058286218,504.2816409,483.0134433,sac_checkpoint_PandaEnv_2024-01-01_16-25-04,sac_checkpoint_PandaEnv_2023-12-31_16-43-58
